Wavenumbercm-1,01:44:27
3100,0.0188276401987128
3096,0.0201573961721326
3092,0.0205630224072323
3088,0.0203766956717781
3084,0.0207727189902401
3080,0.0214871441613621
3076,0.0215748108392089
3072,0.0215391515129526
3068,0.0224580346483769
3064,0.0238352310469024
3060,0.0244077459241296
3056,0.0244106285424032
3052,0.0250151039096288
3048,0.0261148044892452
3044,0.0266123626240553
3040,0.0264657055076635
3036,0.0265192406055755
3032,0.0264568969035275
3028,0.0245759462712333
3024,0.0195535901217068
3020,0.0109189945512704
3016,-0.00220801877691858
3012,-0.0211525169711623
3008,-0.045192752747937
3004,-0.068765085652385
3000,-0.0825322830648446
2996,-0.0813758239552625
2992,-0.0709481857375803
2988,-0.0587655573406393
2984,-0.0380348896724835
2980,0.0107826038122793
2976,0.0837485294244473
2972,0.142861541800306
