Wavenumbercm-1,00:06:11
3072,0.0137824096160636
3068,0.0149959233432225
3064,0.0169124950368501
3060,0.0180271157909072
3056,0.018459341584065
3052,0.0194340560025337
3048,0.0209702530574777
3044,0.0222577969876478
3040,0.0236417788398996
3036,0.026097208159815
3032,0.029225294142698
3028,0.0317125649911518
3024,0.0334122675679512
3020,0.0351537676490012
3016,0.0368308555360689
3012,0.037516707246889
3008,0.0379711288813064
3004,0.0421052840374332
3000,0.0550263545655054
2996,0.0786384579826763
2992,0.110842622314927
2988,0.152084087956985
2984,0.20948312622542
2980,0.284784055811979
2976,0.353806089545286
2972,0.390373101552807
2968,0.394676736181105
2964,0.38070073076708
2960,0.366547945868472
2956,0.361808845813347
2952,0.360973296978786
2948,0.357517102429225
2944,0.353593049317527
2940,0.352272888633523
2936,0.349165156316566
